comment,confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,source,sub_case,value_float,valueset_pk,year
,,,560,1.0,EA066-Aa1-1,{},,Absence of distinctions (1950) [Nyai Nyae region],77652,,Nyai Nyae region,,76944,1950
,,,560,1.0,EA066-Aa2-1,{},,Absence of distinctions (1920) [with special reference to Central Dorobo],77653,,with special reference to Central Dorobo,,76945,1920
,,,560,1.0,EA066-Aa4-1,{},,Absence of distinctions (1920),77655,,,,76947,1920
,,,560,1.0,EA066-Aa5-1,{},,"Absence of distinctions (1930) [Epulu net-hunters, Ituri forest]",77656,,"Epulu net-hunters, Ituri forest",,76948,1930
,,,560,1.0,EA066-Aa6-1,{},,Absence of distinctions (1920),77657,,,,76949,1920
,,,560,1.0,EA066-Aa7-1,{},,Absence of distinctions (1910),77658,,,,76950,1910
,,,560,1.0,EA066-Aa8-1,{},,Absence of distinctions (1850),77659,,,,76951,1850
,,,560,1.0,EA066-Aa9-1,{},,Absence of distinctions (1910) [Hatsa Kindiga Tribe],77660,,Hatsa Kindiga Tribe,,76952,1910
,,,560,1.0,EA066-Ab21a-1,{},,Absence of distinctions (1930),77671,,,,76963,1930
,,,560,1.0,EA066-Ac10-1,{},,Absence of distinctions (1920),77680,,,,76972,1920
,,,560,1.0,EA066-Ac11-1,{},,Absence of distinctions (1930),77681,,,,76973,1930
,,,560,1.0,EA066-Ac13-1,{},,Absence of distinctions (1950),77683,,,,76975,1950
,,,560,1.0,EA066-Ac15-1,{},,Absence of distinctions (1900),77685,,,,76977,1900
,,,560,1.0,EA066-Ac24-1,{},,Absence of distinctions (1910),77690,,,,76982,1910
,,,560,1.0,EA066-Ac25-1,{},,Absence of distinctions (1930) [with reference to the tribe of this name on the Luniunga and Gobari rivers],77691,,with reference to the tribe of this name on the Luniunga and Gobari rivers,,76983,1930
,,,560,1.0,EA066-Ac26-1,{},,Absence of distinctions (1920),77692,,,,76984,1920
,,,560,1.0,EA066-Ac27-1,{},,Absence of distinctions (1930),77693,,,,76985,1930
,,,560,1.0,EA066-Ac30-1,{},,Absence of distinctions (1940),77695,,,,76987,1940
,,,560,1.0,EA066-Ac32-1,{},,Absence of distinctions (1920),77697,,,,76989,1920
,,,560,1.0,EA066-Ac37-1,{},,Absence of distinctions (1950),77701,,,,76993,1950
,,,560,1.0,EA066-Ac38-1,{},,Absence of distinctions (1910),77702,,,,76994,1910
,,,560,1.0,EA066-Ac39-1,{},,Absence of distinctions (1920),77703,,,,76995,1920
,,,560,1.0,EA066-Ac40-1,{},,Absence of distinctions (1900),77705,,,,76997,1900
,,,560,1.0,EA066-Ac41-1,{},,Absence of distinctions (1900),77706,,,,76998,1900
,,,560,1.0,EA066-Ac42-1,{},,Absence of distinctions (1900),77707,,,,76999,1900
,,,560,1.0,EA066-Ac5-1,{},,Absence of distinctions (1920),77708,,,,77000,1920
,,,560,1.0,EA066-Ac7-1,{},,Absence of distinctions (1920),77709,,,,77001,1920
,,,560,1.0,EA066-Ad1-1,{},,Absence of distinctions (1950),77712,,,,77004,1950
,,,560,1.0,EA066-Ad12-1,{},,Absence of distinctions (1940),77715,,,,77007,1940
,,,560,1.0,EA066-Ad13-1,{},,Absence of distinctions (1930),77716,,,,77008,1930
,,,560,1.0,EA066-Ad14-1,{},,Absence of distinctions (1930) [Morogoro District],77717,,Morogoro District,,77009,1930
,,,560,1.0,EA066-Ad25-1,{},,Absence of distinctions (1900),77728,,,,77020,1900
,,,560,1.0,EA066-Ad26-1,{},,Absence of distinctions (1910),77729,,,,77021,1910
,,,560,1.0,EA066-Ad27-1,{},,Absence of distinctions (1880),77730,,,,77022,1880
,,,560,1.0,EA066-Ad28-1,{},,Absence of distinctions (1880),77731,,,,77023,1880
,,,560,1.0,EA066-Ad32-1,{},,Absence of distinctions (1900),77734,,,,77026,1900
,,,560,1.0,EA066-Ad33-1,{},,Absence of distinctions (1900),77735,,,,77027,1900
,,,560,1.0,EA066-Ad35-1,{},,"Absence of distinctions (1940) [To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga]",77736,,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",,77028,1940
,,,560,1.0,EA066-Ad37-1,{},,Absence of distinctions (1940),77738,,,,77030,1940
,,,560,1.0,EA066-Ad38-1,{},,Absence of distinctions (1910),77739,,,,77031,1910
,,,560,1.0,EA066-Ad44-1,{},,Absence of distinctions (1920),77745,,,,77037,1920
,,,560,1.0,EA066-Ad50-1,{},,Absence of distinctions (1900) [with special reference to the Mountain Kaguru],77752,,with special reference to the Mountain Kaguru,,77044,1900
,,,560,1.0,EA066-Ad51-1,{},,Absence of distinctions (1930),77753,,,,77045,1930
,,,560,1.0,EA066-Ad6-1,{},,Absence of distinctions (1930) [Age villages of Mwaya and Masoko],77754,,Age villages of Mwaya and Masoko,,77046,1930
,,,560,1.0,EA066-Ae1-1,{},,Absence of distinctions (1950) [with special reference to those of Bwamba in Uganda],77758,,with special reference to those of Bwamba in Uganda,,77050,1950
,,,560,1.0,EA066-Ae11-1,{},,Absence of distinctions (1900),77760,,,,77052,1900
,,,560,1.0,EA066-Ae17-1,{},,Absence of distinctions (1900),77765,,,,77057,1900
,,,560,1.0,EA066-Ae21-1,{},,Absence of distinctions (1920),77770,,,,77062,1920
,,,560,1.0,EA066-Ae22-1,{},,Absence of distinctions (1900) [with special reference to the Bankutu],77771,,with special reference to the Bankutu,,77063,1900
,,,560,1.0,EA066-Ae23-1,{},,Absence of distinctions (1930),77772,,,,77064,1930
,,,560,1.0,EA066-Ae24-1,{},,Absence of distinctions (1920),77773,,,,77065,1920
,,,560,1.0,EA066-Ae29-1,{},,Absence of distinctions (1900),77777,,,,77069,1900
,,,560,1.0,EA066-Ae30-1,{},,Absence of distinctions (1920),77779,,,,77071,1920
,,,560,1.0,EA066-Ae31-1,{},,Absence of distinctions (1920),77780,,,,77072,1920
,,,560,1.0,EA066-Ae32-1,{},,Absence of distinctions (1920),77781,,,,77073,1920
,,,560,1.0,EA066-Ae33-1,{},,Absence of distinctions (1920),77782,,,,77074,1920
,,,560,1.0,EA066-Ae34-1,{},,Absence of distinctions (1920),77783,,,,77075,1920
,,,560,1.0,EA066-Ae35-1,{},,Absence of distinctions (1900),77784,,,,77076,1900
,,,560,1.0,EA066-Ae36-1,{},,Absence of distinctions (1920),77785,,,,77077,1920
,,,560,1.0,EA066-Ae37-1,{},,Absence of distinctions (1930),77786,,,,77078,1930
,,,560,1.0,EA066-Ae38-1,{},,Absence of distinctions (1920),77787,,,,77079,1920
,,,560,1.0,EA066-Ae39-1,{},,Absence of distinctions (1920),77788,,,,77080,1920
,,,560,1.0,EA066-Ae4-1,{},,Absence of distinctions (1930) [Ilanga group],77789,,Ilanga group,,77081,1930
,,,560,1.0,EA066-Ae41-1,{},,Absence of distinctions (1940),77790,,,,77082,1940
,,,560,1.0,EA066-Ae42-1,{},,Absence of distinctions (1900),77791,,,,77083,1900
,,,560,1.0,EA066-Ae43-1,{},,Absence of distinctions (1900),77792,,,,77084,1900
,,,560,1.0,EA066-Ae45-1,{},,Absence of distinctions (1900),77794,,,,77086,1900
,,,560,1.0,EA066-Ae47-1,{},,Absence of distinctions (1900),77795,,,,77087,1900
,,,560,1.0,EA066-Ae48-1,{},,Absence of distinctions (1930),77796,,,,77088,1930
,,,560,1.0,EA066-Ae51-1,{},,Absence of distinctions (1940) [Ndiki subtribe],77799,,Ndiki subtribe,,77091,1940
,,,560,1.0,EA066-Ae59-1,{},,Absence of distinctions (1950) [with special reference to the Ngie subtribe],77802,,with special reference to the Ngie subtribe,,77094,1950
,,,560,1.0,EA066-Ae7-1,{},,Absence of distinctions (1910),77804,,,,77096,1910
,,,560,1.0,EA066-Af10-1,{},,Absence of distinctions (1930),77808,,,,77100,1930
,,,560,1.0,EA066-Af11-1,{},,Absence of distinctions (1920),77809,,,,77101,1920
,,,560,1.0,EA066-Af16-1,{},,Absence of distinctions (1910),77812,,,,77104,1910
,,,560,1.0,EA066-Af2-1,{},,Absence of distinctions (1950),77814,,,,77106,1950
,,,560,1.0,EA066-Af29-1,{},,Absence of distinctions (1950),77823,,,,77115,1950
,,,560,1.0,EA066-Af31-1,{},,Absence of distinctions (1960) [with special reference to the Lafia],77825,,with special reference to the Lafia,,77117,1960
,,,560,1.0,EA066-Af37-1,{},,Absence of distinctions (1900) [with special reference to the Akpafu],77830,,with special reference to the Akpafu,,77122,1900
,,,560,1.0,EA066-Af4-1,{},,Absence of distinctions (1930),77832,,,,77124,1930
,,,560,1.0,EA066-Af44-1,{},,Absence of distinctions (1900),77836,,,,77128,1900
,,,560,1.0,EA066-Af45-1,{},,Absence of distinctions (1900),77837,,,,77129,1900
,,,560,1.0,EA066-Af47-1,{},,Absence of distinctions (1940),77838,,,,77130,1940
,,,560,1.0,EA066-Af49-1,{},,Absence of distinctions (1940),77839,,,,77131,1940
,,,560,1.0,EA066-Af51-1,{},,Absence of distinctions (1920),77841,,,,77133,1920
,,,560,1.0,EA066-Af54-1,{},,Absence of distinctions (1930),77843,,,,77135,1930
,,,560,1.0,EA066-Af7-1,{},,Absence of distinctions (1950),77846,,,,77138,1950
,,,560,1.0,EA066-Af9-1,{},,Absence of distinctions (1900),77848,,,,77140,1900
,,,560,1.0,EA066-Ag10-1,{},,Absence of distinctions (1940),77850,,,,77142,1940
,,,560,1.0,EA066-Ag11-1,{},,Absence of distinctions (1910),77851,,,,77143,1910
,,,560,1.0,EA066-Ag12-1,{},,Absence of distinctions (1910),77852,,,,77144,1910
,,,560,1.0,EA066-Ag14-1,{},,Absence of distinctions (1950),77853,,,,77145,1950
,,,560,1.0,EA066-Ag15-1,{},,Absence of distinctions (1930),77854,,,,77146,1930
,,,560,1.0,EA066-Ag16-1,{},,Absence of distinctions (1930),77855,,,,77147,1930
,,,560,1.0,EA066-Ag18-1,{},,Absence of distinctions (1930),77857,,,,77149,1930
,,,560,1.0,EA066-Ag19-1,{},,Absence of distinctions (1930) [with special reference to the Felup],77858,,with special reference to the Felup,,77150,1930
,,,560,1.0,EA066-Ag20-1,{},,Absence of distinctions (1930),77860,,,,77152,1930
,,,560,1.0,EA066-Ag21-1,{},,Absence of distinctions (1910),77861,,,,77153,1910
,,,560,1.0,EA066-Ag30-1,{},,Absence of distinctions (1910),77868,,,,77160,1910
,,,560,1.0,EA066-Ag31-1,{},,Absence of distinctions (1910),77869,,,,77161,1910
,,,560,1.0,EA066-Ag32-1,{},,Absence of distinctions (1900),77870,,,,77162,1900
,,,560,1.0,EA066-Ag34-1,{},,Absence of distinctions (1930),77871,,,,77163,1930
,,,560,1.0,EA066-Ag35-1,{},,Absence of distinctions (1910),77872,,,,77164,1910
,,,560,1.0,EA066-Ag37-1,{},,Absence of distinctions (1910),77873,,,,77165,1910
,,,560,1.0,EA066-Ag38-1,{},,Absence of distinctions (1910),77874,,,,77166,1910
,,,560,1.0,EA066-Ag39-1,{},,Absence of distinctions (1910),77875,,,,77167,1910
,,,560,1.0,EA066-Ag41-1,{},,Absence of distinctions (1920),77878,,,,77170,1920
