comment,confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,source,sub_case,value_float,valueset_pk,year
,,,152,1.0,EA009-Aa2-1,{},,Monogamous (1920) [with special reference to Central Dorobo],21258,,with special reference to Central Dorobo,,20550,1920
,,,152,1.0,EA009-Ad1-1,{},,Monogamous (1950),21330,,,,20622,1950
,,,152,1.0,EA009-Ad5-1,{},,Monogamous (1940),21374,,,,20666,1940
,,,152,1.0,EA009-Ah23-1,{},,Monogamous (1920),21567,,,,20859,1920
,,,152,1.0,EA009-Ah29-1,{},,Monogamous (1920),21570,,,,20862,1920
,,,152,1.0,EA009-Ai4-1,{},,Monogamous (1920),21621,,,,20913,1920
,,,152,1.0,EA009-Ca3-1,{},,Monogamous (1950),21685,,,,20977,1950
,,,152,1.0,EA009-Ca31-1,{},,Monogamous (1860),21687,,,,20979,1860
The extended family occupies a hamlet,,,152,1.0,EA009-Ca7-1,{},,Monogamous (1950) [Gondar district],21702,,Gondar district,,20994,1950
,,,152,1.0,EA009-Cc11-1,{},,Monogamous (1860),21734,,,,21026,1860
,,,152,1.0,EA009-Cc12-1,{},,Monogamous (1944),21735,,,,21027,1944
,,,152,1.0,EA009-Cc13-1,{},,Monogamous (1920),21736,,,,21028,1920
But the camp group is an extended family,,,152,1.0,EA009-Cc18-1,{},,Monogamous (1910),21740,,,,21032,1910
,,,152,1.0,EA009-Cc19-1,{},,Monogamous (1950),21741,,,,21033,1950
,,,152,1.0,EA009-Cc20-1,{},,Monogamous (1910) [with special reference to the more nomadic northern groups],21743,,with special reference to the more nomadic northern groups,,21035,1910
,,,152,1.0,EA009-Cc4-1,{},,Monogamous (1920),21745,,,,21037,1920
But polygyny is practiced by the Bella serfs,,,152,1.0,EA009-Cc5-1,{},,Monogamous (1910),21746,,,,21038,1910
,,,152,1.0,EA009-Cc8-1,{},,Monogamous (1890),21749,,,,21041,1890
,,,152,1.0,EA009-Cc9-1,{},,Monogamous (1920) [Ahaggaren tribe],21750,,Ahaggaren tribe,,21042,1920
Extended families are suggested rather than attested,,,152,1.0,EA009-Cd10-1,{},,Monogamous (1900),21752,,,,21044,1900
,,,152,1.0,EA009-Cd11-1,{},,Monogamous (1500),21753,,,,21045,1500
,,,152,1.0,EA009-Cd15-1,{},,Monogamous (1910),21757,,,,21049,1910
,,,152,1.0,EA009-Cd5-1,{},,Monogamous (1920) [with special reference to those of the Grand Atlas Mountains],21767,,with special reference to those of the Grand Atlas Mountains,,21059,1920
,,,152,1.0,EA009-Cd6-1,{},,Monogamous (-1400) [with special reference to the New Empire],21768,,with special reference to the New Empire,,21060,-1400
,,,152,1.0,EA009-Cd8-1,{},,Monogamous (1910),21770,,,,21062,1910
,,,152,1.0,EA009-Cd9-1,{},,Monogamous (1900),21771,,,,21063,1900
,,,152,1.0,EA009-Ce2-1,{},,Monogamous (1950) [with special reference to the village of Rio de Onor in the extreme northeast],21773,,with special reference to the village of Rio de Onor in the extreme northeast,,21065,1950
,,,152,1.0,EA009-Ce3-1,{},,Monogamous (100) [City and environs of Rome],21774,,City and environs of Rome,,21066,100
,,,152,1.0,EA009-Ce4-1,{},,Monogamous (1930) [Labourd],21775,,Labourd,,21067,1930
,,,152,1.0,EA009-Ce5-1,{},,Monogamous (1960) [with special reference to the inhabitants of the city of Naples and its immediate environs],21776,,with special reference to the inhabitants of the city of Naples and its immediate environs,,21068,1960
,,,152,1.0,EA009-Ce6-1,{},,Monogamous (1950) [with special reference to the inhabitants of Andalusia],21777,,with special reference to the inhabitants of Andalusia,,21069,1950
,,,152,1.0,EA009-Ce7-1,{},,Monogamous (1950) [with special reference to the village of Vasilika],21778,,with special reference to the village of Vasilika,,21070,1950
,,,152,1.0,EA009-Ce8-1,{},,Monogamous (1934) [with special reference to the village of Vera],21779,,with special reference to the village of Vera,,21071,1934
,,,152,1.0,EA009-Cf1-1,{},,Monogamous (1920) [Small City in Connecticut],21780,,Small City in Connecticut,,21072,1920
,,,152,1.0,EA009-Cf2-1,{},,Monogamous (1850) [of the Transvaal],21781,,of the Transvaal,,21073,1850
,,,152,1.0,EA009-Cf3-1,{},,Monogamous (1930),21782,,,,21074,1930
,,,152,1.0,EA009-Cf4-1,{},,Monogamous (1940) [with special reference to the village of Cruz das Almas near Sao Paulo],21783,,with special reference to the village of Cruz das Almas near Sao Paulo,,21075,1940
,,,152,1.0,EA009-Cf5-1,{},,Monogamous (1930),21784,,,,21076,1930
,,,152,1.0,EA009-Cg1-1,{},,Monogamous (1950) [with special reference to the village of Anderen in Anlo parish of Drente province],21785,,with special reference to the village of Anderen in Anlo parish of Drente province,,21077,1950
,,,152,1.0,EA009-Cg2-1,{},,Monogamous (1100),21786,,,,21078,1100
,,,152,1.0,EA009-Cg3-1,{},,Monogamous (1930) [County Clare],21787,,County Clare,,21079,1930
,,,152,1.0,EA009-Cg4-1,{},,Monogamous (1950) [Konkama District],21788,,Konkama District,,21080,1950
,,,152,1.0,EA009-Cg5-1,{},,Monogamous (1950),21789,,,,21081,1950
,,,152,1.0,EA009-Ch1-1,{},,Monogamous (1950) [with special reference to the village of Orasac],21790,,with special reference to the village of Orasac,,21082,1950
,,,152,1.0,EA009-Ch10-1,{},,Monogamous (1910),21791,,,,21083,1910
,,,152,1.0,EA009-Ch11-1,{},,Monogamous (1955) [Viriatino Village],21792,,Viriatino Village,,21084,1955
,,,152,1.0,EA009-Ch2-1,{},,Monogamous (1890),21793,,,,21085,1890
,,,152,1.0,EA009-Ch3-1,{},,Monogamous (1940) [with special reference to the Hana district of central Moravia],21794,,with special reference to the Hana district of central Moravia,,21086,1940
,,,152,1.0,EA009-Ch4-1,{},,Monogamous (1900),21795,,,,21087,1900
"Formerly monogamous families were organized as part of large extended families (i.e., related variable EA008 would have been coded ""8"")",,,152,1.0,EA009-Ch5-1,{},,Monogamous (1940) [with special reference to the village of Dragelevtsy],21796,,with special reference to the village of Dragelevtsy,,21088,1940
,,,152,1.0,EA009-Ch6-1,{},,Monogamous (1910),21797,,,,21089,1910
,,,152,1.0,EA009-Ch7-1,{},,Monogamous (1930),21798,,,,21090,1930
,,,152,1.0,EA009-Ch8-1,{},,Monogamous (1940),21799,,,,21091,1940
,,,152,1.0,EA009-Ch9-1,{},,Monogamous (1930),21800,,,,21092,1930
,,,152,1.0,EA009-Ci1-1,{},,Monogamous (1920) [with special reference to the Baga Dorbed group],21801,,with special reference to the Baga Dorbed group,,21093,1920
,,,152,1.0,EA009-Ci10-1,{},,Monogamous (1900) [Vicinity of Erevan],21802,,Vicinity of Erevan,,21094,1900
,,,152,1.0,EA009-Ci8-1,{},,Monogamous (1850),21811,,,,21103,1850
,,,152,1.0,EA009-Ci9-1,{},,Monogamous (1910),21812,,,,21104,1910
