comment,confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,source,sub_case,value_float,valueset_pk,year
,,,177,1.0,EA012-Ab7-1,{},,"Avunculocal (1920) [Banianeka, Munyaneka, Ovanyaneka, Vanyaneka]",25077,,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",,24369,1920
,,,177,1.0,EA012-Ac10-1,{},,Avunculocal (1920),25081,,,,24373,1920
,,,177,1.0,EA012-Ac11-1,{},,Avunculocal (1930),25082,,,,24374,1930
,,,177,1.0,EA012-Ac12-1,{},,Avunculocal (1920),25083,,,,24375,1920
,,,177,1.0,EA012-Ac13-1,{},,Avunculocal (1950),25084,,,,24376,1950
,,,177,1.0,EA012-Ac14-1,{},,Avunculocal (1900),25085,,,,24377,1900
,,,177,1.0,EA012-Ac15-1,{},,Avunculocal (1900),25086,,,,24378,1900
,,,177,1.0,EA012-Ac16-1,{},,Avunculocal (1940),25087,,,,24379,1940
,,,177,1.0,EA012-Ac18-1,{},,Avunculocal (1910),25089,,,,24381,1910
,,,177,1.0,EA012-Ac2-1,{},,Avunculocal (1920),25091,,,,24383,1920
,,,177,1.0,EA012-Ac20-1,{},,Avunculocal (1920),25092,,,,24384,1920
,,,177,1.0,EA012-Ac21-1,{},,Avunculocal (1910),25093,,,,24385,1910
,,,177,1.0,EA012-Ac22-1,{},,Avunculocal (1930),25094,,,,24386,1930
,,,177,1.0,EA012-Ac23-1,{},,Avunculocal (1950) [with special reference to the western Lele],25095,,with special reference to the western Lele,,24387,1950
,,,177,1.0,EA012-Ac24-1,{},,Avunculocal (1910),25096,,,,24388,1910
"Entry follows Richards; Beaucorps reports Virilocal (code ""10"")",,,177,1.0,EA012-Ac25-1,{},,Avunculocal (1930) [with reference to the tribe of this name on the Luniunga and Gobari rivers],25097,,with reference to the tribe of this name on the Luniunga and Gobari rivers,,24389,1930
,,,177,1.0,EA012-Ac26-1,{},,Avunculocal (1920),25098,,,,24390,1920
,,,177,1.0,EA012-Ac27-1,{},,Avunculocal (1930),25099,,,,24391,1930
,,,177,1.0,EA012-Ac29-1,{},,Avunculocal (1930),25101,,,,24393,1930
,,,177,1.0,EA012-Ac31-1,{},,Avunculocal (1910),25104,,,,24396,1910
,,,177,1.0,EA012-Ac32-1,{},,Avunculocal (1920),25105,,,,24397,1920
,,,177,1.0,EA012-Ac33-1,{},,Avunculocal (1940),25106,,,,24398,1940
,,,177,1.0,EA012-Ac34-1,{},,Avunculocal (1940),25107,,,,24399,1940
,,,177,1.0,EA012-Ac35-1,{},,Avunculocal (1900),25108,,,,24400,1900
,,,177,1.0,EA012-Ac4-1,{},,"Avunculocal (1910) [with special reference to the Bushoong, the central subtribe]",25113,,"with special reference to the Bushoong, the central subtribe",,24405,1910
,,,177,1.0,EA012-Ac41-1,{},,Avunculocal (1900),25115,,,,24407,1900
,,,177,1.0,EA012-Ac6-1,{},,Avunculocal (1930),25119,,,,24411,1930
,,,177,1.0,EA012-Ac8-1,{},,Avunculocal (1930),25121,,,,24413,1930
,,,177,1.0,EA012-Ad51-1,{},,Avunculocal (1930),25169,,,,24461,1930
,,,177,1.0,EA012-Ae54-1,{},,Avunculocal (1950),25223,,,,24515,1950
,,,177,1.0,EA012-Af3-1,{},,Avunculocal (1900) [Kumasi State],25254,,Kumasi State,,24546,1900
,,,177,1.0,EA012-Af44-1,{},,Avunculocal (1900),25270,,,,24562,1900
,,,177,1.0,EA012-Af9-1,{},,Avunculocal (1900),25289,,,,24581,1900
,,,177,1.0,EA012-Ag8-1,{},,Avunculocal (1910) [with special reference to the Coniagui],25341,,with special reference to the Coniagui,,24633,1910
,,,177,1.0,EA012-Ah26-1,{},,Avunculocal (1920),25361,,,,24653,1920
,,,177,1.0,EA012-Ah30-1,{},,Avunculocal (1920),25366,,,,24658,1920
,,,177,1.0,EA012-Ah6-1,{},,Avunculocal (1920),25378,,,,24670,1920
,,,177,1.0,EA012-Ai38-1,{},,Avunculocal (1930),25412,,,,24704,1930
,,,177,1.0,EA012-Ai39-1,{},,Avunculocal (1940),25413,,,,24705,1940
,,,177,1.0,EA012-Cc13-1,{},,Avunculocal (1920),25530,,,,24822,1920
,,,177,1.0,EA012-If1-1,{},,"Avunculocal (1940) [Ulimang, Badeldaob Island]",25832,,"Ulimang, Badeldaob Island",,25124,1940
,,,177,1.0,EA012-Ig1-1,{},,Avunculocal (1940) [Northeastern group],25849,,Northeastern group,,25141,1940
,,,177,1.0,EA012-Ig2-1,{},,Avunculocal (1910) [Kiriwina Island],25860,,Kiriwina Island,,25152,1910
,,,177,1.0,EA012-Ig20-1,{},,Avunculocal (1920) [with special reference to the village of Longgu],25861,,with special reference to the village of Longgu,,25153,1920
,,,177,1.0,EA012-Ig21-1,{},,Avunculocal (1930) [with special reference to Boieng Island],25862,,with special reference to Boieng Island,,25154,1930
,,,177,1.0,EA012-Ih1-1,{},,Avunculocal (1890),25870,,,,25162,1890
,,,177,1.0,EA012-Na27-1,{},,Avunculocal (1870),25923,,,,25215,1870
,,,177,1.0,EA012-Nb1-1,{},,Avunculocal (1890) [Masset Town],25948,,Masset Town,,25240,1890
,,,177,1.0,EA012-Nb22-1,{},,Avunculocal (1880) [with special reference to the Chilkat],25962,,with special reference to the Chilkat,,25254,1880
An inference from conflicting residence data confirmed by De Laguna as probably correct,,,177,1.0,EA012-Nb5-1,{},,Avunculocal (1890) [Eyak Tribe],25982,,Eyak Tribe,,25274,1890
,,,177,1.0,EA012-Nb7-1,{},,Avunculocal (1880),25984,,,,25276,1880
,,,177,1.0,EA012-Nb8-1,{},,Avunculocal (1880),25985,,,,25277,1880
,,,177,1.0,EA012-Sb6-1,{},,Avunculocal (1940) [Goajiro Tribe],26203,,Goajiro Tribe,,25495,1940
,,,177,1.0,EA012-Sc6-1,{},,Avunculocal (1920) [Upper Suriname River; Akwa on Morini River],26221,,Upper Suriname River; Akwa on Morini River,,25513,1920
,,,178,1.0,EA012-Aa1-1,{},,Ambilocal (1950) [Nyai Nyae region],25048,,Nyai Nyae region,,24340,1950
,,,178,1.0,EA012-Aa8-1,{},,Ambilocal (1850),25055,,,,24347,1850
,,,178,1.0,EA012-Aa9-1,{},,Ambilocal (1910) [Hatsa Kindiga Tribe],25056,,Hatsa Kindiga Tribe,,24348,1910
,,,178,1.0,EA012-Ai4-1,{},,Ambilocal (1920),25414,,,,24706,1920
,,,178,1.0,EA012-Ce4-1,{},,Ambilocal (1930) [Labourd],25568,,Labourd,,24860,1930
,,,178,1.0,EA012-Cg1-1,{},,Ambilocal (1950) [with special reference to the village of Anderen in Anlo parish of Drente province],25578,,with special reference to the village of Anderen in Anlo parish of Drente province,,24870,1950
,,,178,1.0,EA012-Ch6-1,{},,Ambilocal (1910),25590,,,,24882,1910
,,,178,1.0,EA012-Cj4-1,{},,Ambilocal (-2000) [City and environs of Babylon],25610,,City and environs of Babylon,,24902,-2000
,,,178,1.0,EA012-Eg1-1,{},,Ambilocal (1940) [with special reference to the forest group],25682,,with special reference to the forest group,,24974,1940
,,,178,1.0,EA012-Eh1-1,{},,Ambilocal (1870),25696,,,,24988,1870
,,,178,1.0,EA012-Ej14-1,{},,Ambilocal (1960) [with special reference to the eastern Semai],25731,,with special reference to the eastern Semai,,25023,1960
,,,178,1.0,EA012-Ia13-1,{},,Ambilocal (1960) [Tawi-Tawi and adjacent islands],25746,,Tawi-Tawi and adjacent islands,,25038,1960
,,,178,1.0,EA012-Ia2-1,{},,Ambilocal (1950),25752,,,,25044,1950
