comment,confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,source,sub_case,value_float,valueset_pk,year
,,,129,1.0,EA006-Aa2-1,{},,Bride-wealth (1920) [with special reference to Central Dorobo],17451,,with special reference to Central Dorobo,,16743,1920
,,,129,1.0,EA006-Aa6-1,{},,Bride-wealth (1920),17455,,,,16747,1920
,,,129,1.0,EA006-Aa9-1,{},,Bride-wealth (1910) [Hatsa Kindiga Tribe],17458,,Hatsa Kindiga Tribe,,16750,1910
,,,129,1.0,EA006-Ab1-1,{},,Bride-wealth (1900),17459,,,,16751,1900
,,,129,1.0,EA006-Ab10-1,{},,Bride-wealth (1936),17460,,,,16752,1936
,,,129,1.0,EA006-Ab11-1,{},,Bride-wealth (1850),17461,,,,16753,1850
,,,129,1.0,EA006-Ab12-1,{},,Bride-wealth (1830),17462,,,,16754,1830
,,,129,1.0,EA006-Ab13-1,{},,Bride-wealth (1880) [with special reference to the Kgatla (Bakxatla)],17463,,with special reference to the Kgatla (Bakxatla),,16755,1880
,,,129,1.0,EA006-Ab14-1,{},,Bride-wealth (1930),17464,,,,16756,1930
,,,129,1.0,EA006-Ab15-1,{},,Bride-wealth (1860),17465,,,,16757,1860
,,,129,1.0,EA006-Ab16-1,{},,Bride-wealth (1930),17466,,,,16758,1930
,,,129,1.0,EA006-Ab17-1,{},,Bride-wealth (1920),17467,,,,16759,1920
"Bride service (code ""2"") plus token bride price (code ""3"") with uxorilocal residence as a patterned alternative",,,129,1.0,EA006-Ab18-1,{},,Bride-wealth (1920) [with special reference to the Zezuru],17468,,with special reference to the Zezuru,,16760,1920
,,,129,1.0,EA006-Ab19-1,{},,Bride-wealth (1910) [with special reference to the Kuanyama],17469,,with special reference to the Kuanyama,,16761,1910
,,,129,1.0,EA006-Ab2-1,{},,Bride-wealth (1880),17470,,,,16762,1880
,,,129,1.0,EA006-Ab20-1,{},,Bride-wealth (1880),17471,,,,16763,1880
,,,129,1.0,EA006-Ab21a-1,{},,Bride-wealth (1930),17472,,,,16764,1930
,,,129,1.0,EA006-Ab21b-1,{},,Bride-wealth (1925),17473,,,,16765,1925
,,,129,1.0,EA006-Ab22-1,{},,Bride-wealth (1920),17474,,,,16766,1920
,,,129,1.0,EA006-Ab4-1,{},,Bride-wealth (1920),17476,,,,16768,1920
,,,129,1.0,EA006-Ab5-1,{},,Bride-wealth (1930),17477,,,,16769,1930
,,,129,1.0,EA006-Ab6-1,{},,Bride-wealth (1900),17478,,,,16770,1900
,,,129,1.0,EA006-Ab7-1,{},,"Bride-wealth (1920) [Banianeka, Munyaneka, Ovanyaneka, Vanyaneka]",17479,,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",,16771,1920
,,,129,1.0,EA006-Ab8-1,{},,Bride-wealth (1860) [Basuto],17480,,Basuto,,16772,1860
,,,129,1.0,EA006-Ab9-1,{},,Bride-wealth (1870),17481,,,,16773,1870
,,,129,1.0,EA006-Ac1-1,{},,Bride-wealth (1920),17482,,,,16774,1920
,,,129,1.0,EA006-Ac13-1,{},,Bride-wealth (1950),17486,,,,16778,1950
,,,129,1.0,EA006-Ac14-1,{},,Bride-wealth (1900),17487,,,,16779,1900
"Alternatively code ""3"", token bride price, in which case children belong to the MoBr",,,129,1.0,EA006-Ac15-1,{},,Bride-wealth (1900),17488,,,,16780,1900
,,,129,1.0,EA006-Ac16-1,{},,Bride-wealth (1940),17489,,,,16781,1940
,,,129,1.0,EA006-Ac17-1,{},,Bride-wealth (1910) [Feshi territory lineage center],17490,,Feshi territory lineage center,,16782,1910
,,,129,1.0,EA006-Ac18-1,{},,Bride-wealth (1910),17491,,,,16783,1910
,,,129,1.0,EA006-Ac19-1,{},,Bride-wealth (1880),17492,,,,16784,1880
,,,129,1.0,EA006-Ac20-1,{},,Bride-wealth (1920),17494,,,,16786,1920
,,,129,1.0,EA006-Ac21-1,{},,Bride-wealth (1910),17495,,,,16787,1910
,,,129,1.0,EA006-Ac22-1,{},,Bride-wealth (1930),17496,,,,16788,1930
,,,129,1.0,EA006-Ac23-1,{},,Bride-wealth (1950) [with special reference to the western Lele],17497,,with special reference to the western Lele,,16789,1950
,,,129,1.0,EA006-Ac24-1,{},,Bride-wealth (1910),17498,,,,16790,1910
,,,129,1.0,EA006-Ac25-1,{},,Bride-wealth (1930) [with reference to the tribe of this name on the Luniunga and Gobari rivers],17499,,with reference to the tribe of this name on the Luniunga and Gobari rivers,,16791,1930
,,,129,1.0,EA006-Ac26-1,{},,Bride-wealth (1920),17500,,,,16792,1920
,,,129,1.0,EA006-Ac28-1,{},,Bride-wealth (1930),17502,,,,16794,1930
,,,129,1.0,EA006-Ac29-1,{},,Bride-wealth (1930),17503,,,,16795,1930
,,,129,1.0,EA006-Ac30-1,{},,Bride-wealth (1940),17505,,,,16797,1940
,,,129,1.0,EA006-Ac31-1,{},,Bride-wealth (1910),17506,,,,16798,1910
"Formerly Bride service (code ""2"") with token bride price (code ""3"")",,,129,1.0,EA006-Ac36-1,{},,Bride-wealth (1920),17511,,,,16803,1920
"A patterned alternative is code ""3"", token bride price, with alternating Uxorilocal and Avunculocal residence",,,129,1.0,EA006-Ac4-1,{},,"Bride-wealth (1910) [with special reference to the Bushoong, the central subtribe]",17515,,"with special reference to the Bushoong, the central subtribe",,16807,1910
,,,129,1.0,EA006-Ac43-1,{},,Bride-wealth (1910),17519,,,,16811,1910
,,,129,1.0,EA006-Ac8-1,{},,Bride-wealth (1930),17523,,,,16815,1930
,,,129,1.0,EA006-Ad1-1,{},,Bride-wealth (1950),17525,,,,16817,1950
,,,129,1.0,EA006-Ad10-1,{},,Bride-wealth (1910),17526,,,,16818,1910
,,,129,1.0,EA006-Ad11-1,{},,Bride-wealth (1930),17527,,,,16819,1930
,,,129,1.0,EA006-Ad12-1,{},,Bride-wealth (1940),17528,,,,16820,1940
,,,129,1.0,EA006-Ad13-1,{},,Bride-wealth (1930),17529,,,,16821,1930
,,,129,1.0,EA006-Ad14-1,{},,Bride-wealth (1930) [Morogoro District],17530,,Morogoro District,,16822,1930
,,,129,1.0,EA006-Ad15-1,{},,Bride-wealth (1900),17531,,,,16823,1900
,,,129,1.0,EA006-Ad16-1,{},,Bride-wealth (1920),17532,,,,16824,1920
,,,129,1.0,EA006-Ad17-1,{},,Bride-wealth (1920),17533,,,,16825,1920
,,,129,1.0,EA006-Ad18-1,{},,Bride-wealth (1910),17534,,,,16826,1910
,,,129,1.0,EA006-Ad19-1,{},,Bride-wealth (1910),17535,,,,16827,1910
,,,129,1.0,EA006-Ad2-1,{},,Bride-wealth (1950),17536,,,,16828,1950
"Alternatively code ""3"", token bride price, with code ""2"", bride service as alternate/supplementary; in this case children are affiliated with the mother's group",,,129,1.0,EA006-Ad20-1,{},,Bride-wealth (1920),17537,,,,16829,1920
,,,129,1.0,EA006-Ad21-1,{},,Bride-wealth (1930),17538,,,,16830,1930
"Alternatively code ""6"", absence of consideration, in which case children are affiliated with the mother's kin group",,,129,1.0,EA006-Ad22-1,{},,Bride-wealth (1950),17539,,,,16831,1950
,,,129,1.0,EA006-Ad23-1,{},,Bride-wealth (1910),17540,,,,16832,1910
,,,129,1.0,EA006-Ad24-1,{},,Bride-wealth (1910),17541,,,,16833,1910
,,,129,1.0,EA006-Ad25-1,{},,Bride-wealth (1900),17542,,,,16834,1900
,,,129,1.0,EA006-Ad26-1,{},,Bride-wealth (1910),17543,,,,16835,1910
,,,129,1.0,EA006-Ad27-1,{},,Bride-wealth (1880),17544,,,,16836,1880
,,,129,1.0,EA006-Ad28-1,{},,Bride-wealth (1880),17545,,,,16837,1880
,,,129,1.0,EA006-Ad29-1,{},,Bride-wealth (1930),17546,,,,16838,1930
,,,129,1.0,EA006-Ad3-1,{},,Bride-wealth (1910),17547,,,,16839,1910
,,,129,1.0,EA006-Ad30-1,{},,Bride-wealth (1890),17548,,,,16840,1890
,,,129,1.0,EA006-Ad31-1,{},,Bride-wealth (1910),17549,,,,16841,1910
,,,129,1.0,EA006-Ad32-1,{},,Bride-wealth (1900),17550,,,,16842,1900
,,,129,1.0,EA006-Ad33-1,{},,Bride-wealth (1900),17551,,,,16843,1900
,,,129,1.0,EA006-Ad34-1,{},,Bride-wealth (1910),17552,,,,16844,1910
,,,129,1.0,EA006-Ad35-1,{},,"Bride-wealth (1940) [To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga]",17553,,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",,16845,1940
,,,129,1.0,EA006-Ad36-1,{},,Bride-wealth (1890),17554,,,,16846,1890
,,,129,1.0,EA006-Ad37-1,{},,Bride-wealth (1940),17555,,,,16847,1940
,,,129,1.0,EA006-Ad39-1,{},,Bride-wealth (1950),17557,,,,16849,1950
,,,129,1.0,EA006-Ad4-1,{},,Bride-wealth (1930) [Fort Hall or Metume district],17558,,Fort Hall or Metume district,,16850,1930
,,,129,1.0,EA006-Ad40-1,{},,Bride-wealth (1950),17559,,,,16851,1950
,,,129,1.0,EA006-Ad41-1,{},,Bride-wealth (1930),17560,,,,16852,1930
,,,129,1.0,EA006-Ad42-1,{},,Bride-wealth (1900),17561,,,,16853,1900
,,,129,1.0,EA006-Ad43-1,{},,Bride-wealth (1900),17562,,,,16854,1900
,,,129,1.0,EA006-Ad44-1,{},,Bride-wealth (1920),17563,,,,16855,1920
,,,129,1.0,EA006-Ad45-1,{},,Bride-wealth (1920),17564,,,,16856,1920
,,,129,1.0,EA006-Ad46-1,{},,Bride-wealth (1950),17565,,,,16857,1950
,,,129,1.0,EA006-Ad47-1,{},,Bride-wealth (1900),17566,,,,16858,1900
,,,129,1.0,EA006-Ad48-1,{},,Bride-wealth (1950),17567,,,,16859,1950
,,,129,1.0,EA006-Ad49-1,{},,Bride-wealth (1950),17568,,,,16860,1950
,,,129,1.0,EA006-Ad5-1,{},,Bride-wealth (1940),17569,,,,16861,1940
,,,129,1.0,EA006-Ad50-1,{},,Bride-wealth (1900) [with special reference to the Mountain Kaguru],17570,,with special reference to the Mountain Kaguru,,16862,1900
,,,129,1.0,EA006-Ad6-1,{},,Bride-wealth (1930) [Age villages of Mwaya and Masoko],17572,,Age villages of Mwaya and Masoko,,16864,1930
,,,129,1.0,EA006-Ad7-1,{},,Bride-wealth (1880) [Kyaddondo district (V: Kampala)],17573,,Kyaddondo district (V: Kampala),,16865,1880
,,,129,1.0,EA006-Ad8-1,{},,Bride-wealth (1910) [with special reference to the northern or Iringa group],17574,,with special reference to the northern or Iringa group,,16866,1910
,,,129,1.0,EA006-Ad9-1,{},,Bride-wealth (1900),17575,,,,16867,1900
,,,129,1.0,EA006-Ae10-1,{},,Bride-wealth (1910),17577,,,,16869,1910
,,,129,1.0,EA006-Ae11-1,{},,Bride-wealth (1900),17578,,,,16870,1900
,,,129,1.0,EA006-Ae12-1,{},,Bride-wealth (1940),17579,,,,16871,1940
,,,129,1.0,EA006-Ae13-1,{},,Bride-wealth (1920),17580,,,,16872,1920
,,,129,1.0,EA006-Ae14-1,{},,Bride-wealth (1950),17581,,,,16873,1950
,,,129,1.0,EA006-Ae15-1,{},,Bride-wealth (1940),17582,,,,16874,1940
,,,129,1.0,EA006-Ae16-1,{},,Bride-wealth (1910),17583,,,,16875,1910
,,,129,1.0,EA006-Ae17-1,{},,Bride-wealth (1900),17584,,,,16876,1900
,,,129,1.0,EA006-Ae18-1,{},,Bride-wealth (1900),17585,,,,16877,1900
,,,129,1.0,EA006-Ae19-1,{},,Bride-wealth (1930),17586,,,,16878,1930
,,,129,1.0,EA006-Ae2-1,{},,Bride-wealth (1950),17587,,,,16879,1950
,,,129,1.0,EA006-Ae20-1,{},,Bride-wealth (1940),17588,,,,16880,1940
,,,129,1.0,EA006-Ae21-1,{},,Bride-wealth (1920),17589,,,,16881,1920
,,,129,1.0,EA006-Ae22-1,{},,Bride-wealth (1900) [with special reference to the Bankutu],17590,,with special reference to the Bankutu,,16882,1900
,,,129,1.0,EA006-Ae23-1,{},,Bride-wealth (1930),17591,,,,16883,1930
,,,129,1.0,EA006-Ae24-1,{},,Bride-wealth (1920),17592,,,,16884,1920
,,,129,1.0,EA006-Ae25-1,{},,Bride-wealth (1920) [with special reference to the northern Tetela],17593,,with special reference to the northern Tetela,,16885,1920
,,,129,1.0,EA006-Ae26-1,{},,Bride-wealth (1910),17594,,,,16886,1910
,,,129,1.0,EA006-Ae27-1,{},,"Bride-wealth (1910) [The Smith reference describes a Protestant Mission near Stanley Falls, Upper Congo]",17595,,"The Smith reference describes a Protestant Mission near Stanley Falls, Upper Congo",,16887,1910
,,,129,1.0,EA006-Ae28-1,{},,Bride-wealth (1900),17596,,,,16888,1900
,,,129,1.0,EA006-Ae29-1,{},,Bride-wealth (1900),17597,,,,16889,1900
,,,129,1.0,EA006-Ae3-1,{},,Bride-wealth (1910),17598,,,,16890,1910
,,,129,1.0,EA006-Ae30-1,{},,Bride-wealth (1920),17599,,,,16891,1920
,,,129,1.0,EA006-Ae31-1,{},,Bride-wealth (1920),17600,,,,16892,1920
,,,129,1.0,EA006-Ae32-1,{},,Bride-wealth (1920),17601,,,,16893,1920
,,,129,1.0,EA006-Ae34-1,{},,Bride-wealth (1920),17603,,,,16895,1920
,,,129,1.0,EA006-Ae35-1,{},,Bride-wealth (1900),17604,,,,16896,1900
,,,129,1.0,EA006-Ae36-1,{},,Bride-wealth (1920),17605,,,,16897,1920
,,,129,1.0,EA006-Ae37-1,{},,Bride-wealth (1930),17606,,,,16898,1930
,,,129,1.0,EA006-Ae38-1,{},,Bride-wealth (1920),17607,,,,16899,1920
,,,129,1.0,EA006-Ae39-1,{},,Bride-wealth (1920),17608,,,,16900,1920
,,,129,1.0,EA006-Ae4-1,{},,Bride-wealth (1930) [Ilanga group],17609,,Ilanga group,,16901,1930
,,,129,1.0,EA006-Ae40-1,{},,Bride-wealth (1910),17610,,,,16902,1910
,,,129,1.0,EA006-Ae41-1,{},,Bride-wealth (1940),17611,,,,16903,1940
,,,129,1.0,EA006-Ae42-1,{},,Bride-wealth (1900),17612,,,,16904,1900
,,,129,1.0,EA006-Ae43-1,{},,Bride-wealth (1900),17613,,,,16905,1900
,,,129,1.0,EA006-Ae44-1,{},,Bride-wealth (1920),17614,,,,16906,1920
,,,129,1.0,EA006-Ae45-1,{},,Bride-wealth (1900),17615,,,,16907,1900
,,,129,1.0,EA006-Ae46-1,{},,Bride-wealth (1870),17616,,,,16908,1870
,,,129,1.0,EA006-Ae47-1,{},,Bride-wealth (1900),17617,,,,16909,1900
Usually after capture,,,129,1.0,EA006-Ae48-1,{},,Bride-wealth (1930),17618,,,,16910,1930
,,,129,1.0,EA006-Ae49-1,{},,Bride-wealth (1900),17619,,,,16911,1900
,,,129,1.0,EA006-Ae5-1,{},,Bride-wealth (1910),17620,,,,16912,1910
,,,129,1.0,EA006-Ae50-1,{},,Bride-wealth (1920),17621,,,,16913,1920
,,,129,1.0,EA006-Ae52-1,{},,Bride-wealth (1950),17623,,,,16915,1950
,,,129,1.0,EA006-Ae53-1,{},,Bride-wealth (1920),17624,,,,16916,1920
