eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Abipon,Abipón,ABIPON,-29,-61,0,0,1,1,2,1,2,2,1,4,2,2,1,South America
Abkhaz,Abkhaz,ABKHAZ,43,41,0,0,1,1,2,5,4,4,4,5,NA,NA,3,Asia
Ainu,Ainu,AINU_BIHORO,44,144,0,0,1,1,2,NA,1,1,6,1,2,NA,1,Asia
Albanians,Gheg,ALBANIAN_GHEG,42,20,2,2,1,1,6,7,2,2,1,1,NA,NA,2,Europe
Aleut,Aleut,ALEUT,53.86,-166.79,0,0,1,1,6,1,2,2,2,4,2,1,1,North America
Alor,Alorese,ABUI,-8.22,124.26,0,0,1,1,2,5,2,2,1,2,1,NA,2,Asia
Amahuaca,Amahuaca,AMAHUACA,-10,-72,0,0,1,1,2,1,2,2,2,1,2,3,1,South America
Amhara,Amhara,AMHARIC,13,38,1,2,1,2,1,7,4,4,6,5,NA,NA,3,Africa
Andamans,Andamanese,AKA_BEA,12,93,0,0,2,2,1,1,1,1,6,1,2,NA,1,Asia
Arab Americans,NA,SAN_ANDRES_ARABIC_1,42.3601,-71.0589,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,North America
Arab Canadians,NA,SAN_ANDRES_ARABIC_2,44.6488,-63.5724,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,North America
Aracuanians,Mapuche,MAPUDUNGUN,-39,-68,0,0,1,1,5,7,2,2,1,2,2,1,1,South America
Aranda,Northern Aranda,ARANDA,-24,134,0,0,1,1,3,1,3,3,7,1,2,1,1,Oceania
Armenia,Armenians,ARMENIAN,40,45,2,2,2,2,1,7,3,3,7,2,NA,NA,3,Asia
Assiniboine,Assiniboine,ASSINIBOINE,48,-106,0,0,1,1,3,1,2,2,1,1,2,1,1,North America
Atayal,Atayal,ATAYAL,24,121,0,0,2,2,1,7,2,2,1,1,NA,NA,1,Asia
Aymara,Aymara,CENTRAL_AYMARA,-16,-69,0,0,2,2,1,7,1,1,6,2,2,1,3,South America
Azande,Azande,ZANDE,5,27,0,0,1,1,5,6,2,2,1,4,NA,NA,1,Africa
Aztec,Aztec,CLASSICAL_NAHUATL,19,-99,1,3,1,2,2,7,2,1,3,5,NA,NA,1,Middle America and the Caribbean
Babylonians,Babylonians,AKKADIAN,32,45,3,3,1,2,2,7,4,3,3,5,1,NA,1,Middle East
Badaga,NA,BADAGA,11.4,76.7,2,2,1,1,2,7,2,2,1,5,0,0,5,Asia
Bagisu,Gisu,MASABA,1,34,0,0,1,1,5,7,2,2,1,2,NA,NA,1,Africa
Bahia Brazilians,NA,PORTUGUESE,-12.9714,-38.5014,1,1,2,2,1,7,3,3,7,5,NA,NA,3,South America
Bakairi,Bacairi,BAKAIRI,-14,-55,0,0,1,1,2,1,1,1,6,1,2,NA,1,South America
Bali,Balinese,BALI,-8.18,115.02,0,0,1,1,2,7,2,2,3,5,NA,NA,5,Asia
Bambara,Bambara,BAMBARA,13,-7,0,0,1,1,5,6,2,2,1,4,2,1,2,Africa
Banen,Banen,TUNEN,5,11,0,0,1,1,5,7,5,5,5,1,NA,NA,1,Africa
